txn_overall,amt_overall,txn_promo,amt_promo,txn_nonpromo,amt_nonpromo,customer_id,membership_days,age,income,gender_Blank,gender_F,gender_M,gender_O,offer_received,offer_viewed,offer_completed,web,email,mobile,social,difficulty,duration,reward,redeemed_reward,response_score,bogo_offer_received,disc_offer_received,info_offer_received,bogo_offer_viewed,disc_offer_viewed,info_offer_viewed,bogo_offer_completed,disc_offer_completed,info_offer_completed,bogo_response_score,disc_response_score,info_response_score,rfm_promo_score,rfm_nonpromo_score,amt_per_hour,amt_per_member_day,amt_per_income
9.0,20.4,9.0,20.4,0.0,0.0,0,530,61,99000,1,0,0,0,5,5,2,5,5,4,3,11.4,8.8,2.8,1.0,0.22199999999999998,0,4,0,0.0,4.0,0.0,0.0,1.5,0.0,0.0,0.9099999999999999,0.0,2.67,0.0,0.03,0.04,0.0
3.0,77.01,1.0,23.22,2.0,53.79,1,377,55,112000,0,1,0,0,2,0,0,2,2,2,0,2.5,5.5,2.5,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,4.0,0.11,0.2,0.0
6.0,14.3,1.0,2.14,5.0,12.16,2,15,56,39000,1,0,0,0,2,1,0,1,2,2,1,2.5,5.0,2.5,0.0,0.0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,2.33,0.02,0.95,0.0
7.0,159.27,6.0,135.34,1.0,23.93,3,444,75,100000,0,1,0,0,4,4,3,2,4,4,3,5.0,5.5,5.0,3.75,0.39,3,0,1,3.0,0.0,1.0,2.0,0.0,1.0,0.64,0.0,0.92,3.0,4.0,0.22,0.36,0.0
3.0,4.65,2.0,1.15,1.0,3.5,4,357,40,34000,1,0,0,0,5,4,0,4,5,2,1,12.0,7.4,3.0,0.0,0.0,0,1,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,3.33,0.01,0.01,0.0
3.0,57.73,1.0,18.42,2.0,39.31,5,92,68,70000,0,0,1,0,4,3,2,4,4,4,1,6.25,7.0,2.25,1.75,0.34750000000000003,1,2,1,1.0,2.0,0.0,1.0,1.0,0.0,0.39,1.0,0.0,4.33,4.0,0.08,0.63,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6,305,26,45000,1,0,0,0,5,5,0,5,5,5,3,8.0,7.2,3.2,0.0,0.0,1,2,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.24,2.0,0.24,0.0,0.0,7,298,84,78000,1,0,0,0,5,4,0,4,5,5,3,8.4,6.6,6.0,0.0,0.0,3,2,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0
3.0,36.43,3.0,36.43,0.0,0.0,8,168,65,53000,0,0,1,0,6,6,5,6,6,6,3,6.666666666666667,6.833333333333333,4.0,3.1666666666666665,0.405,2,2,0,2.0,2.0,0.0,1.5,2.0,0.0,0.6699999999999999,1.0899999999999999,0.0,1.67,0.0,0.05,0.22,0.0
6.0,15.62,4.0,13.17,2.0,2.45,9,612,42,57000,1,0,0,0,4,3,0,3,4,4,3,5.0,5.0,5.0,0.0,0.0,3,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.02,0.03,0.0
9.0,66.41,8.0,66.28,1.0,0.13,10,337,53,80000,1,0,0,0,3,3,1,2,3,3,3,8.0,7.0,5.333333333333333,3.3333333333333335,0.3333333333333333,1,1,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.33,0.09,0.2,0.0
8.0,17.11,7.0,16.4,1.0,0.71,11,1042,68,34000,1,0,0,0,4,4,1,3,4,4,4,7.25,6.5,5.25,0.75,0.08,2,1,0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,0.16,0.0,2.33,1.0,0.02,0.02,0.0
4.0,15.62,4.0,15.62,0.0,0.0,12,258,58,51000,0,0,1,0,3,2,1,3,3,3,2,5.666666666666667,7.0,1.6666666666666667,0.6666666666666666,0.18333333333333335,0,2,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.55,0.0,2.33,0.0,0.02,0.06,0.0
6.0,85.55,6.0,85.55,0.0,0.0,13,319,61,57000,0,1,0,0,5,5,2,3,5,4,4,9.0,6.0,6.0,3.0,0.3,3,1,1,3.0,1.0,1.0,2.0,0.0,0.0,1.5,0.0,0.0,3.67,0.0,0.12,0.27,0.0
