txn_overall,amt_overall,txn_promo,amt_promo,txn_nonpromo,amt_nonpromo,membership_days,age,income,gender_Blank,gender_F,gender_M,gender_O,offer_received,offer_viewed,offer_completed,web,email,mobile,social,difficulty,duration,reward,redeemed_reward,response_score,bogo_offer_received,disc_offer_received,info_offer_received,bogo_offer_viewed,disc_offer_viewed,info_offer_viewed,bogo_offer_completed,disc_offer_completed,info_offer_completed,bogo_response_score,disc_response_score,info_response_score,rfm_promo_score,rfm_nonpromo_score,amt_per_hour,amt_per_member_day,amt_per_income,cluster
9.0,20.4,9.0,20.4,0.0,0.0,530,23,56000,1,0,0,0,5,5,2,5,5,4,3,11.4,8.8,2.8,1.0,0.2219999999999999,0,4,0,0.0,4.0,0.0,0.0,1.5,0.0,0.0,0.91,0.0,2.67,0.0,0.03,0.04,0.0,3
3.0,77.01,1.0,23.22,2.0,53.79,377,55,112000,0,1,0,0,2,0,0,2,2,2,0,2.5,5.5,2.5,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,4.0,0.11,0.2,0.0,0
6.0,14.3,1.0,2.14,5.0,12.16,15,89,68000,1,0,0,0,2,1,0,1,2,2,1,2.5,5.0,2.5,0.0,0.0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,2.33,0.02,0.95,0.0,0
7.0,159.27,6.0,135.34,1.0,23.93,444,75,100000,0,1,0,0,4,4,3,2,4,4,3,5.0,5.5,5.0,3.75,0.39,3,0,1,3.0,0.0,1.0,2.0,0.0,1.0,0.64,0.0,0.92,3.0,4.0,0.22,0.36,0.0,4
3.0,4.65,2.0,1.15,1.0,3.5,357,82,88000,1,0,0,0,5,4,0,4,5,2,1,12.0,7.4,3.0,0.0,0.0,0,1,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,3.33,0.01,0.01,0.0,5
3.0,57.73,1.0,18.42,2.0,39.31,92,68,70000,0,0,1,0,4,3,2,4,4,4,1,6.25,7.0,2.25,1.75,0.3475,1,2,1,1.0,2.0,0.0,1.0,1.0,0.0,0.39,1.0,0.0,4.33,4.0,0.08,0.63,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,305,51,59000,1,0,0,0,5,5,0,5,5,5,3,8.0,7.2,3.2,0.0,0.0,1,2,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2.0,0.24,2.0,0.24,0.0,0.0,298,46,58000,1,0,0,0,5,4,0,4,5,5,3,8.4,6.6,6.0,0.0,0.0,3,2,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,5
3.0,36.43,3.0,36.43,0.0,0.0,168,65,53000,0,0,1,0,6,6,5,6,6,6,3,6.666666666666667,6.833333333333333,4.0,3.1666666666666665,0.405,2,2,0,2.0,2.0,0.0,1.5,2.0,0.0,0.6699999999999999,1.09,0.0,1.67,0.0,0.05,0.22,0.0,3
6.0,15.62,4.0,13.17,2.0,2.45,612,62,111000,1,0,0,0,4,3,0,3,4,4,3,5.0,5.0,5.0,0.0,0.0,3,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.02,0.03,0.0,5
